Name							Location		Dates					Keyword1			Description1																		Keyword2				Description2
UCF CECS Career Kickoff Alumni Mentor			Virtual			October 2022				Mentoring			Advised UCF freshmen on goal-setting, resume-building, and overall professionalism									None					None
UCF CECS Senior Design Judge				Orlando, Florida	April 2024				Judging				Assessed the quality of capstone projects for seniors of the College of Engineering and Computer Science						None					None
Camp Connect Lab Leader					Orlando, Florida	June 2021, 2023, 2025			Computer programmming lessons	Taught elementary, middle, and high school students the basics of computer programming in JavaScript							Human Computer Interaction Lessons	Gave elementary, middle, and high school students hands-on training with a variety of biometric equipment, including respiration belts, EDA and ECG sensors, fNIRS headbands, and eye-tracking sensors.
EuroSys 2023 Sahdow Program Committee Member		Virtual			November - December 2022		Paper review			Reviewed submissions to EuroSys 2023															None					None
NAC - NAPC Volunteer					Orlando, Florida	May 2024				Competition setup		Moved computers and cables to the competition room for the 2024 North American Championship and Programming Camp (NAC-NAPC), hosted at UCF		None					None
OOPLSA 2024 Artifact Evaluation Committee Member	Virtual			January - February, July - August 2204	Artifact Review			Reviewe code artifacts associated with papers accepted to OOPLSA 2024. Distinguished reviewer								None					None
UCF Graduate School Info Session PhD Panel		Orlando, Florida	May 2025				Advising			Answered undergraduate students’ questions about UCF’s Computer Science PhD program									None					None
UCF GradLaunch PhD Panelist				Orlando, Florida	August 2025				Advising			Instructed new graduate students how to manage their time and organize their day in order to be productive researchers					None					None
UCF "Surviving Graduate School" Panelist		Orlando, Florida	August 2025				Community engagement		Taught prospective graduate students how to become active in the UCF community										None					None
UCF CS Grad Symposium 2025 Student Panelist		Orlando, Florida	October 2025				Early PhD Advice		Recommended that new graduate students remain humble and start honing their communication skills immediately after starting a PhD			None					None
